modelo,epochs,Train Accuracy,Val Accuracy,Test Accuracy,Train F1,Val F1,Test F1
modelo_3,140,0.4697508896797153,0.4834123222748815,0.462085308056872,0.46734042500996,0.4801285657190096,0.4623960970199142
modelo_2_simple,200,0.8113879003558719,0.806872037914692,0.7950236966824644,0.8016199952379566,0.7921623316559385,0.7844550911435401
modelo_3_simple,160,0.7623566627125345,0.7488151658767772,0.7180094786729858,0.7448389119028389,0.7348879068866544,0.6980803230482149
modelo_4_simple,160,0.8797943851324634,0.8661137440758294,0.8590047393364929,0.8770482881179523,0.8598345599047713,0.8544451436723852
modelo_5_simple,160,0.741795175958877,0.7369668246445498,0.7180094786729858,0.7259749383305837,0.7237265935659941,0.7030475368719081
modelo_6_simple, 100,0.811,  0.815,  0.808,0.793,  0.798,  0.789
modelo_vgg,70,0.866,  0.850,  0.853,0.865 , 0.847 , 0.850
modelo_vgg_2,40,0.2609727164887307,0.254739336492891,0.235781990521327,0.1080225731467935,0.1034352357808717,0.0899724182430375
modelo_vgg_3,40,0.999209,0.90698,0.913507,0.999209,0.906495,0.913191
modelo_vgg_4,40,0.997628,0.914692,0.92654,0.997628,0.914033,0.925701
modelo_vgg_5,40,0.2609727164887307,0.254739336492891,0.235781990521327,0.10802257314679353,0.1034352357808717,0.08997241824303755

